,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
92,Jinchang,0,CN,clear sky,40,38.5,102.17,50.13,5.59
93,Puerto Ayora,97,EC,overcast clouds,85,-0.74,-90.35,66.99,3.0
94,Solone,75,UA,broken clouds,93,48.21,34.87,55.4,4.47
95,Hermanus,100,ZA,light rain,93,-34.42,19.23,57.0,1.01
96,Ondjiva,59,AO,broken clouds,26,-17.07,15.73,63.91,5.84
97,San Pedro,40,PH,scattered clouds,70,14.35,121.02,89.01,5.82
98,College,75,US,broken clouds,41,64.86,-147.8,62.6,3.36
99,Ziway,18,ET,few clouds,74,7.93,38.72,62.2,3.62
100,Los Llanos De Aridane,40,ES,scattered clouds,60,28.66,-17.92,73.4,16.11
101,Cayenne,20,GF,few clouds,100,4.93,-52.33,75.2,3.36
102,Bredasdorp,100,ZA,overcast clouds,93,-34.53,20.04,57.2,12.75
103,Vilhena,88,BR,overcast clouds,85,-12.74,-60.15,70.07,0.4
104,Muravlenko,100,RU,light rain,96,63.79,74.52,44.2,11.16
105,Ilulissat,69,GL,broken clouds,80,69.22,-51.1,35.6,19.46
106,Cidreira,100,BR,light rain,90,-30.18,-50.21,60.13,18.5
107,Dwarka,0,IN,clear sky,74,22.24,68.97,81.28,6.2
108,Puerto Escondido,75,MX,broken clouds,61,15.85,-97.07,82.4,1.86
109,Chokurdakh,0,RU,clear sky,86,70.63,147.92,31.51,11.65
110,Estelle,20,US,few clouds,100,29.85,-90.11,73.4,7.09
111,Aklavik,90,CA,overcast clouds,81,68.22,-135.01,44.6,6.93
112,Talnakh,20,RU,few clouds,92,69.49,88.4,28.4,20.13
113,Kalmunai,100,LK,overcast clouds,69,7.42,81.82,81.41,3.56
114,Port Hedland,0,AU,clear sky,14,-20.32,118.57,96.8,14.99
115,Fortuna,0,US,clear sky,93,40.6,-124.16,57.99,1.01
116,Tiksi,4,RU,clear sky,94,71.69,128.87,27.23,19.95
117,Chesley,67,CA,broken clouds,71,44.3,-81.1,44.01,3.09
118,Saint-Philippe,0,RE,clear sky,64,-21.36,55.77,69.8,6.93
119,Arman,19,RU,few clouds,54,59.7,150.17,51.42,1.88
120,Pavlivka,100,UA,overcast clouds,85,49.44,28.46,51.84,7.96
121,Vaini,90,TO,overcast clouds,88,-21.2,-175.2,73.4,11.41
122,Paamiut,100,GL,overcast clouds,94,61.99,-49.67,36.61,11.65
123,Abha,0,SA,clear sky,22,18.22,42.51,59.0,4.7
124,Forestville,1,US,clear sky,76,38.85,-76.88,57.99,5.46
125,Were Ilu,3,ET,clear sky,88,10.6,39.43,47.48,4.85
126,Kruisfontein,100,ZA,light rain,92,-34.0,24.73,57.99,5.99
127,Klaksvik,100,FO,overcast clouds,93,62.23,-6.59,50.0,23.04
128,Pizarro,95,CO,moderate rain,90,4.95,-77.37,76.37,8.3
129,Faanui,3,PF,clear sky,78,-16.48,-151.75,78.48,17.52
130,Mineros,25,BO,scattered clouds,74,-17.12,-63.23,78.8,5.82
131,Sorland,22,NO,few clouds,78,67.67,12.69,52.61,15.23
132,East London,100,ZA,light rain,83,-33.02,27.91,60.78,20.85
133,Caravelas,2,BR,clear sky,83,-17.71,-39.25,73.56,7.07
134,Sumbe,100,AO,light rain,90,-11.21,13.84,70.48,5.64
135,Jiwani,0,PK,clear sky,59,25.05,61.74,84.78,6.8
136,Vallenar,0,CL,clear sky,60,-28.57,-70.76,54.36,0.31
137,Along,12,IN,few clouds,80,28.17,94.77,77.4,0.72
138,Pisco,42,PE,scattered clouds,82,-13.7,-76.22,63.0,8.05
139,Rovenki,2,UA,clear sky,49,48.08,39.38,52.03,8.48
140,Shushenskoye,86,RU,overcast clouds,92,53.33,91.94,30.2,2.77
141,Achacachi,11,BO,few clouds,77,-16.05,-68.68,43.84,6.89
142,Piracanjuba,26,BR,scattered clouds,26,-17.3,-49.02,73.63,5.77
143,Huntsville,1,US,clear sky,76,34.73,-86.59,53.6,4.7
144,Mahebourg,20,MU,few clouds,93,-20.41,57.7,62.6,6.93
145,Finsterwalde,20,DE,few clouds,93,51.63,13.72,55.4,9.17
146,San Rafael,100,AR,light rain,68,-34.62,-68.33,47.03,17.92
147,Hirara,75,JP,broken clouds,66,24.8,125.28,86.0,16.11
148,Durango,0,MX,clear sky,51,24.83,-104.83,55.67,5.79
149,Norman Wells,90,CA,overcast clouds,47,65.28,-126.83,59.0,10.29
150,San Cristobal,100,VE,overcast clouds,90,7.77,-72.22,65.61,3.13
151,Alice Springs,0,AU,clear sky,11,-23.7,133.88,95.0,17.22
152,Klaeng,100,TH,overcast clouds,90,12.78,101.65,88.0,6.73
153,Batemans Bay,0,AU,clear sky,28,-35.72,150.18,79.0,8.99
154,Hamilton,90,US,overcast clouds,81,39.18,-84.53,54.0,3.36
155,Rawson,0,AR,clear sky,70,-43.3,-65.1,39.22,4.27
156,Dingle,53,PH,heavy intensity rain,73,11.0,122.67,85.78,4.65
157,Jangipur,84,IN,broken clouds,78,24.47,88.07,82.49,2.75
158,Turochak,0,RU,clear sky,79,52.26,87.12,37.44,1.52
159,Catalao,39,BR,scattered clouds,26,-18.17,-47.95,74.16,4.25
160,Hokitika,100,NZ,light rain,86,-42.72,170.97,58.06,8.19
161,Bang Saphan,20,TH,moderate rain,79,11.21,99.51,84.2,5.82
162,Esperance,75,AU,light rain,87,-33.87,121.9,51.8,24.16
163,Kelvington,99,CA,overcast clouds,84,52.17,-103.53,42.01,4.23
164,Sambava,100,MG,overcast clouds,80,-14.27,50.17,73.22,7.9
165,Tabuk,46,PH,scattered clouds,70,17.42,121.44,81.93,4.97
166,Moerai,44,PF,scattered clouds,84,-22.43,-151.33,75.85,7.61
167,Maniitsoq,100,GL,overcast clouds,88,65.42,-52.9,34.07,14.56
168,Dehui,0,CN,clear sky,47,44.53,125.7,55.4,13.42
169,Kahului,75,US,broken clouds,70,20.89,-156.47,84.2,10.29
170,Kaitangata,79,NZ,broken clouds,48,-46.28,169.85,65.23,14.43
171,Suratgarh,0,IN,clear sky,20,29.32,73.9,80.76,6.67
172,Boa Vista,95,BR,overcast clouds,66,2.82,-60.67,84.2,2.24
173,Isangel,75,VU,broken clouds,83,-19.55,169.27,75.2,9.17
174,Georgetown,20,MY,few clouds,88,5.41,100.34,78.8,6.93
175,Tottori,75,JP,light rain,73,35.5,134.23,73.4,3.36
176,Yeppoon,40,AU,scattered clouds,42,-23.13,150.73,82.4,11.41
177,Ribeira Grande,94,PT,overcast clouds,81,38.52,-28.7,68.94,17.67
178,Avarua,100,CK,overcast clouds,74,-21.21,-159.78,78.8,3.36
179,Douentza,100,ML,overcast clouds,56,15.0,-2.95,84.16,10.74
180,Pangnirtung,1,CA,clear sky,85,66.15,-65.71,26.26,4.79
181,Kargopol,1,RU,clear sky,96,61.51,38.95,43.12,3.83
182,Bensonville,71,LR,light rain,95,6.45,-10.61,74.14,2.53
183,Clyde River,90,CA,overcast clouds,92,70.47,-68.59,24.8,2.24
184,Vila Velha,0,BR,clear sky,83,-20.33,-40.29,78.01,16.11
185,Grindavik,40,IS,scattered clouds,93,63.84,-22.43,35.6,9.17
186,Phuket,90,TH,moderate rain,94,8.0,98.25,79.0,8.05
187,Vuktyl,23,RU,few clouds,81,63.86,57.31,37.22,11.65
188,Naze,20,JP,few clouds,66,28.37,129.48,84.2,12.75
189,Sibu,20,MY,few clouds,83,2.3,111.82,80.6,4.7
190,Berlevag,100,NO,overcast clouds,83,70.86,29.09,47.08,14.27
191,Carauari,10,BR,clear sky,69,-4.88,-66.9,77.72,1.1
192,Meulaboh,100,ID,heavy intensity rain,73,4.14,96.13,80.26,3.69
193,Codrington,4,AU,clear sky,65,-38.27,141.97,74.14,15.75
194,Ponta Do Sol,75,PT,light intensity shower rain,88,32.67,-17.1,69.01,5.82
195,Mudbidri,75,IN,broken clouds,94,13.08,74.98,75.2,3.36
196,Atlantic City,1,US,clear sky,76,39.36,-74.42,57.99,6.93
197,Le Vauclin,100,MQ,moderate rain,94,14.55,-60.84,77.0,6.93
198,Gedo,78,ET,broken clouds,99,9.02,37.45,50.23,0.83
199,Kyra,100,RU,snow,81,49.58,111.98,32.74,17.78
200,Sacama,8,EC,clear sky,100,-3.9,-79.27,49.28,3.2
201,Lorengau,13,PG,moderate rain,69,-2.02,147.27,85.14,11.12
202,Bintulu,20,MY,few clouds,88,3.17,113.03,80.6,4.7
203,Dumitra,52,RO,broken clouds,80,47.22,24.48,51.55,4.59
204,Merauke,55,ID,moderate rain,65,-8.47,140.33,85.62,14.67
205,Henties Bay,0,NA,clear sky,86,-22.12,14.28,48.99,7.36
206,Collie,26,AU,scattered clouds,63,-33.37,116.15,55.0,8.01
207,Athabasca,0,CA,clear sky,72,54.72,-113.29,50.27,5.12
208,Bowmore,20,US,few clouds,76,34.94,-79.3,59.0,4.83
209,Luderitz,0,NA,clear sky,85,-26.65,15.16,53.28,5.14
210,Glendive,1,US,clear sky,43,47.11,-104.71,57.99,11.41
211,Karratha,0,AU,clear sky,29,-20.74,116.85,84.69,18.52
212,Nome,90,US,overcast clouds,57,64.5,-165.41,51.8,12.75
213,Alcudia,15,ES,few clouds,93,39.85,3.12,52.0,3.36
214,Binga,2,ZW,clear sky,38,-17.62,27.34,73.33,3.44
215,Half Moon Bay,5,US,smoke,73,37.46,-122.43,73.4,5.82
216,Ancud,0,CL,clear sky,64,-41.87,-73.82,41.0,6.93
217,Mount Isa,0,AU,clear sky,17,-20.73,139.5,89.6,14.99
218,Majitha,0,IN,mist,88,31.76,74.95,71.6,1.97
219,Beaufort,40,MY,scattered clouds,94,5.35,115.75,78.8,4.7
220,Vazante,48,BR,scattered clouds,30,-17.99,-46.91,72.3,0.31
221,Ivankiv,78,UA,mist,100,50.94,29.89,57.2,6.71
222,Totness,91,SR,overcast clouds,81,5.88,-56.32,80.69,10.42
223,Hofn,100,IS,light rain,79,64.25,-15.21,46.74,14.65
224,Freetown,99,SL,overcast clouds,87,8.48,-13.23,78.69,5.35
225,Wagar,19,SD,few clouds,44,16.15,36.2,85.53,7.54
226,Koslan,100,RU,overcast clouds,72,63.46,48.9,40.06,5.35
227,Tabriz,0,IR,clear sky,66,38.08,46.29,51.8,4.7
228,Tokuyama,75,JP,broken clouds,73,34.05,131.82,75.2,4.7
229,Inta,25,RU,scattered clouds,93,66.03,60.17,33.39,10.54
230,Ostrovnoy,100,RU,overcast clouds,67,68.05,39.51,42.08,3.15
231,Chapais,90,CA,overcast clouds,86,49.78,-74.85,37.4,4.7
232,Nanortalik,99,GL,overcast clouds,92,60.14,-45.24,38.32,11.97
233,Vestmanna,100,FO,overcast clouds,93,62.16,-7.17,50.0,23.04
234,Salta,2,AR,clear sky,34,-24.79,-65.41,66.2,10.29
235,Souillac,20,MU,few clouds,93,-20.52,57.52,62.6,6.93
236,Bolotnoye,61,RU,broken clouds,86,55.67,84.4,40.23,12.21
237,Praya,23,CV,few clouds,78,14.92,-23.51,78.8,27.51
238,Qom,0,IR,clear sky,31,34.64,50.88,64.0,4.21
239,Thompson,20,CA,few clouds,92,55.74,-97.86,30.2,4.7
240,Mahina,20,PF,few clouds,69,-17.51,-149.49,82.4,18.34
241,Portland,20,US,few clouds,64,45.52,-122.68,73.4,6.93
242,Udachnyy,90,RU,overcast clouds,80,66.42,112.4,30.2,6.71
243,Mwense,57,ZM,broken clouds,36,-10.38,28.7,69.53,2.46
244,Gibara,20,CU,few clouds,88,21.11,-76.13,80.6,8.05
245,Krasnoselkup,100,RU,light rain,95,65.7,82.47,43.14,10.85
246,Marawi,0,PH,clear sky,72,8.0,124.29,84.99,4.0
247,Magadan,4,RU,clear sky,61,59.57,150.8,49.62,2.33
248,Quthing,13,LS,light rain,84,-30.4,27.7,50.38,2.21
249,Walvis Bay,0,NA,clear sky,81,-22.96,14.51,48.99,5.82
250,Penzance,35,GB,scattered clouds,82,50.12,-5.54,55.4,25.28
251,Alofi,75,NU,shower rain,70,-19.06,-169.92,84.2,11.41
252,Tessalit,82,ML,broken clouds,27,20.2,1.01,85.53,3.78
253,Odweyne,0,SO,clear sky,71,9.41,45.06,71.89,6.76
254,Solnechnyy,100,RU,light rain,92,50.72,136.63,44.96,5.21
255,Lagoa,97,PT,overcast clouds,82,39.05,-27.98,68.83,17.94
256,Oranjemund,0,NA,clear sky,87,-28.55,16.43,54.54,1.81
257,Pemangkat,100,ID,overcast clouds,78,1.17,108.97,81.07,4.09
258,Luwuk,100,ID,light rain,67,-0.95,122.79,83.34,7.58
259,San Jose Del Guaviare,98,CO,overcast clouds,93,2.57,-72.65,73.02,1.01
260,Alepe,20,CI,few clouds,94,5.5,-3.66,77.0,5.82
261,Koungou,51,YT,broken clouds,83,-12.73,45.2,77.0,4.7
262,Margate,100,GB,light rain,99,51.38,1.39,60.01,1.99
263,Tocopilla,29,CL,scattered clouds,65,-22.09,-70.2,61.03,7.49
264,Olinda,75,BR,broken clouds,74,-8.01,-34.86,78.8,12.75
265,Blagoyevo,100,RU,overcast clouds,73,63.37,47.92,40.68,5.23
266,Uzhur,42,RU,scattered clouds,84,55.3,89.83,35.02,6.8
267,Bubaque,87,GW,overcast clouds,81,11.28,-15.83,81.07,13.18
268,Jaciara,35,BR,scattered clouds,33,-15.97,-54.97,82.35,2.82
269,Touros,40,BR,scattered clouds,83,-5.2,-35.46,75.2,4.7
270,Severo-Kurilsk,7,RU,clear sky,71,50.68,156.12,50.31,13.29
271,Camacha,75,PT,broken clouds,83,33.08,-16.33,69.8,17.22
272,Tateyama,75,JP,broken clouds,73,34.98,139.87,73.4,6.93
273,Vaitape,3,PF,clear sky,77,-16.52,-151.75,79.32,17.36
274,Kantang,40,TH,scattered clouds,94,7.41,99.52,75.2,2.24
275,Lchashen,20,AM,few clouds,62,40.52,44.93,57.2,3.36
276,Chuy,14,UY,few clouds,74,-33.7,-53.46,49.78,13.31
277,Cabedelo,13,BR,few clouds,88,-6.98,-34.83,73.4,3.36
278,Mecca,0,SA,clear sky,63,21.43,39.83,78.71,1.52
279,Encruzilhada,98,BR,overcast clouds,90,-15.53,-40.91,62.62,4.92
280,Khandbari,0,NP,clear sky,60,27.37,87.2,75.47,0.22
281,Angoche,1,MZ,clear sky,91,-16.23,39.91,72.84,4.27
282,Rock Springs,1,US,clear sky,22,41.59,-109.2,59.0,5.82
283,Nikolskoye,58,RU,broken clouds,87,59.7,30.79,48.0,8.95
284,Alugan,77,PH,broken clouds,64,12.22,125.48,87.17,5.57
285,Russell,1,US,clear sky,87,32.35,-85.2,60.8,5.32
286,Balabac,70,PH,moderate rain,74,7.99,117.06,84.38,5.59
287,Port Blair,100,IN,moderate rain,83,11.67,92.75,80.38,14.88
288,Abhar,3,IR,clear sky,53,36.15,49.22,55.18,4.29
289,Ciudad Bolivar,100,VE,overcast clouds,81,8.12,-63.55,78.06,7.11
290,Muros,75,ES,broken clouds,93,42.78,-9.06,48.2,4.7
291,Liberal,1,US,clear sky,44,37.04,-100.92,60.8,6.93
292,Rio Verde De Mato Grosso,1,BR,clear sky,20,-18.92,-54.84,86.7,2.13
293,Vardo,100,NO,overcast clouds,83,70.37,31.11,46.54,14.5
294,San Javier,90,ES,overcast clouds,71,37.81,-0.84,61.0,3.36
295,Porto Uniao,0,BR,clear sky,58,-26.24,-51.08,69.42,1.16
296,Dzilam Gonzalez,100,MX,light rain,93,21.28,-88.93,75.99,8.1
297,Wad Rawah,0,SD,clear sky,39,15.16,33.14,85.86,5.55
298,Zhigansk,100,RU,overcast clouds,96,66.77,123.37,30.2,22.26
299,Baracoa,100,CU,light rain,84,20.35,-74.5,80.56,7.11
300,Chico,1,US,haze,37,39.73,-121.84,82.4,0.25
301,Altay,0,CN,clear sky,57,47.87,88.12,42.46,1.1
302,Airai,10,TL,clear sky,42,-8.93,125.41,77.27,6.06
303,Beira,40,MZ,scattered clouds,83,-19.84,34.84,73.4,5.82
304,Nouadhibou,0,MR,sand,77,20.93,-17.03,69.8,19.46
305,Port Macquarie,0,AU,clear sky,34,-31.43,152.92,82.0,1.99
306,Bakaly,63,RU,broken clouds,92,55.18,53.8,48.27,4.16
307,Okhotsk,47,RU,scattered clouds,50,59.38,143.3,51.3,6.26
308,Mount Gambier,11,AU,few clouds,36,-37.83,140.77,78.8,14.99
309,Male,75,MV,broken clouds,83,4.17,73.51,82.4,13.87
310,Khorixas,0,NA,clear sky,46,-20.37,14.97,49.95,0.36
311,Santa Cruz De La Palma,40,ES,scattered clouds,60,28.68,-17.76,73.4,16.11
312,Lhokseumawe,100,ID,overcast clouds,70,5.18,97.15,81.43,4.18
313,Solwezi,0,ZM,clear sky,40,-12.17,26.39,58.62,1.41
314,Ambilobe,71,MG,broken clouds,82,-13.2,49.05,70.88,4.03
315,Guerrero Negro,0,MX,clear sky,51,27.98,-114.06,79.21,10.63
316,Casper,1,US,clear sky,46,42.87,-106.31,55.99,11.41
317,Narsaq,99,GL,light rain,93,60.92,-46.05,35.6,1.12
318,Katsuura,75,JP,broken clouds,73,35.13,140.3,78.01,4.7
319,Buala,20,SB,few clouds,58,-8.14,159.59,85.3,7.67
320,Baruun-Urt,2,MN,clear sky,75,46.68,113.28,33.75,12.08
321,Broken Hill,84,AU,broken clouds,15,-31.95,141.43,87.8,14.99
322,Kongolo,2,CD,clear sky,90,-5.38,27.0,70.18,2.95
323,Bihac,99,BA,overcast clouds,76,44.82,15.87,65.07,11.77
324,Boyle,75,US,broken clouds,93,37.63,-84.87,50.0,1.28
325,Bandundu,2,CD,clear sky,90,-3.32,17.37,72.68,2.15
326,Heihe,75,CN,broken clouds,100,50.24,127.49,48.2,4.47
327,Abu Dhabi,0,AE,clear sky,78,24.47,54.37,80.6,4.7
328,Peniche,25,PT,light rain,75,39.36,-9.38,60.01,4.0
329,Gamboma,1,CG,clear sky,85,-1.88,15.86,72.03,2.71
330,Dondo,40,MZ,scattered clouds,83,-19.61,34.74,73.4,5.82
331,Tongren,99,CN,overcast clouds,86,27.72,109.19,74.53,3.96
332,Berezovyy,100,RU,light rain,80,51.67,135.7,46.09,6.82
333,Puerto Madryn,0,AR,clear sky,68,-42.77,-65.04,39.96,6.38
334,Ayan,100,RU,overcast clouds,65,56.45,138.17,49.93,5.73
335,Flin Flon,98,CA,overcast clouds,81,54.77,-101.86,40.82,5.32
336,Shar,0,KZ,clear sky,79,49.59,81.05,37.92,2.91
337,Monteagudo,100,BO,overcast clouds,44,-19.82,-63.98,70.86,1.12
338,Kandrian,67,PG,broken clouds,71,-6.22,149.55,83.21,10.04
339,Vila,38,PT,scattered clouds,92,42.03,-8.16,48.0,8.01
340,Northam,100,GB,light rain,90,51.03,-4.22,55.0,13.0
341,Arlit,100,NE,overcast clouds,23,18.74,7.39,90.48,1.63
342,San Andres,40,CO,scattered clouds,83,12.58,-81.7,80.6,4.7
343,Chifeng,0,CN,clear sky,33,42.27,118.96,58.55,11.34
344,Hambantota,20,LK,few clouds,88,6.12,81.12,80.6,10.29
345,Quimper,100,FR,overcast clouds,87,48.0,-4.1,55.4,12.75
346,Lazaro Cardenas,0,MX,clear sky,83,17.96,-102.2,79.75,5.95
347,Vulcan,70,RO,broken clouds,75,45.38,23.27,51.82,3.02
348,Locri,40,IT,scattered clouds,78,38.24,16.26,75.0,13.87
349,Zdvinsk,1,RU,clear sky,82,54.7,78.66,44.67,11.95
350,Deputatskiy,33,RU,scattered clouds,84,69.3,139.9,26.67,20.13
351,Lompoc,1,US,clear sky,49,34.64,-120.46,71.6,6.93
352,Makakilo City,20,US,moderate rain,70,21.35,-158.09,84.2,6.93
353,Turukhansk,100,RU,overcast clouds,96,65.82,87.98,42.06,6.89
354,Jieshi,83,CN,broken clouds,73,22.81,115.83,84.0,12.59
355,Andros Town,90,BS,thunderstorm,94,24.7,-77.77,77.0,4.7
356,Baikunthpur,28,IN,scattered clouds,66,23.25,82.55,76.23,2.39
357,Talcahuano,10,CL,clear sky,65,-36.72,-73.12,46.4,10.29
358,Trairi,9,BR,clear sky,78,-3.28,-39.27,78.67,12.75
359,Opuwo,100,NA,overcast clouds,33,-18.06,13.84,58.68,1.28
360,Tautira,20,PF,few clouds,69,-17.73,-149.15,82.4,18.34
361,Salamanca,79,ES,broken clouds,81,40.83,-6.0,45.0,11.41
362,Ankpa,70,NG,light rain,94,7.37,7.63,70.25,1.21
363,Fort Nelson,75,CA,broken clouds,71,58.81,-122.7,53.6,2.24
364,Thetford Mines,43,CA,scattered clouds,95,46.09,-71.3,46.99,3.11
365,Guarapari,3,BR,clear sky,83,-20.67,-40.5,78.01,13.87
366,Dunda,5,TZ,clear sky,78,-8.12,34.25,61.77,1.01
367,Pevek,100,RU,overcast clouds,82,69.7,170.31,34.11,2.39
368,Sao Joao Da Barra,0,BR,clear sky,85,-21.64,-41.05,74.89,14.92
